test_1_score,test_2_score,test_3_score,test_4_score,hours_studied_per_week,attendance_percent,classes_missed,office_hours_attended,Passed the class
88,53,59,52,12,89,3,4,Yes
78,48,99,67,0,56,9,0,No
64,59,48,72,5,50,10,1,No
92,95,80,57,12,71,10,6,Yes
57,92,90,58,11,68,8,0,No
70,52,99,51,4,69,7,1,No
88,93,84,51,4,73,5,5,Yes
68,97,72,76,16,87,5,5,Yes
72,45,88,97,6,77,7,0,Yes
60,51,43,88,4,70,6,0,No
60,97,43,85,4,75,8,3,No
73,75,98,54,6,52,9,3,No
85,62,87,50,0,57,10,2,No
89,56,99,71,12,72,6,7,Yes
73,92,55,59,6,71,8,2,No
52,74,86,94,0,54,9,0,No
71,77,65,73,2,55,10,0,No
51,91,45,64,11,67,8,3,No
73,51,76,82,5,69,5,0,No
93,72,61,99,4,50,9,0,No
79,93,81,72,9,69,4,3,No
87,47,78,63,5,58,9,0,No
51,87,46,67,7,58,10,3,No
70,50,81,74,7,70,8,0,No
82,75,69,71,3,64,9,3,No
61,82,49,93,4,66,9,1,No
71,59,96,93,2,64,6,2,No
93,51,54,86,3,77,5,0,No
74,87,45,56,4,76,8,2,No
98,74,63,75,7,53,9,2,No
76,71,41,73,4,59,10,1,No
91,61,79,62,8,64,10,3,No
77,99,96,90,7,52,8,0,No
65,62,91,55,2,89,4,2,No
64,66,54,70,0,61,6,0,No
96,97,92,56,5,53,8,0,No
93,70,60,67,6,77,6,5,Yes
52,95,57,64,12,73,8,2,No
86,71,44,57,7,59,8,7,Yes
56,84,64,65,0,67,10,1,No
70,68,75,98,7,76,9,5,Yes
58,96,49,52,5,72,8,0,No
88,52,90,94,9,74,8,0,No
67,65,85,58,0,53,5,0,No
53,73,62,96,12,56,4,6,Yes
74,87,63,75,10,58,9,2,No
63,65,84,75,5,60,10,1,No
99,47,49,79,0,50,8,0,No
58,75,93,76,0,78,7,0,No
75,99,45,65,12,62,10,3,No
51,71,52,97,10,68,10,3,No
69,90,60,53,13,74,6,5,Yes
77,71,71,68,15,86,5,3,Yes
96,53,82,83,11,76,6,2,Yes
56,77,93,55,8,70,6,5,Yes
93,77,96,94,20,100,5,4,Yes
57,70,54,64,3,79,4,0,No
96,72,41,59,7,71,10,3,No
84,88,97,91,0,63,8,0,No
63,87,98,85,10,69,7,1,No
66,75,54,95,6,73,4,3,No
85,97,90,89,5,61,6,5,Yes
99,45,56,55,4,57,10,0,No
89,64,59,93,3,77,10,0,No
53,56,89,89,4,56,10,0,No
51,61,45,55,0,60,8,0,No
55,59,54,64,0,56,8,0,No
91,78,56,78,2,61,6,0,No
53,94,95,74,4,66,5,0,No
78,60,65,68,4,64,9,2,No
67,48,61,63,0,51,10,0,No
75,52,48,52,3,59,7,1,No
93,78,51,99,4,71,7,2,No
83,90,61,91,12,74,8,1,No
59,69,97,95,1,65,5,3,No
85,59,62,63,12,81,8,5,Yes
63,72,76,88,15,80,9,2,Yes
80,53,53,88,12,66,8,7,Yes
97,46,63,70,2,65,10,4,Yes
64,61,47,60,8,71,9,1,No
57,54,65,99,0,50,10,0,No
63,53,71,59,1,50,9,0,No
72,75,96,64,3,67,10,1,No
89,46,67,79,7,61,9,0,No
70,68,71,93,2,57,7,0,No
65,63,61,66,6,69,9,2,No
94,61,88,78,14,74,9,1,No
67,87,48,66,2,61,9,2,No
96,93,42,82,1,76,7,0,No
73,54,64,87,3,60,10,0,No
75,94,78,70,15,78,5,4,Yes
74,99,51,96,12,66,7,6,Yes
94,72,68,63,4,74,6,2,No
90,82,42,59,3,66,7,0,No
78,92,80,91,10,88,3,3,Yes
64,72,85,72,7,68,6,5,Yes
94,94,62,88,12,75,8,5,Yes
50,96,62,88,1,61,8,3,No
74,94,94,63,7,83,3,3,Yes
56,45,57,96,9,73,7,5,Yes
58,47,50,71,10,69,9,6,Yes
73,59,75,90,0,51,10,3,No
50,96,65,77,6,50,10,1,No
93,54,47,96,5,66,7,0,No
57,65,67,58,1,58,8,0,No
73,81,57,72,4,50,10,1,No
60,59,52,56,8,64,8,0,No
66,67,75,73,2,52,9,0,No
57,58,81,92,5,82,6,2,Yes
84,59,79,86,9,68,9,2,No
84,54,83,58,15,87,7,1,No
82,53,90,87,8,73,8,4,Yes
54,88,51,56,10,80,3,4,Yes
91,83,61,72,10,93,6,2,Yes
88,49,99,74,5,73,3,3,No
90,69,41,95,6,98,4,2,Yes
77,86,95,71,7,73,6,3,No
56,70,79,92,0,72,6,0,No
58,52,67,56,3,60,10,3,No
57,66,52,55,8,54,7,2,No
61,96,72,85,4,50,10,2,No
83,69,42,95,14,83,4,2,Yes
82,92,73,71,9,64,10,3,No
97,56,62,84,6,63,10,0,No
72,53,94,98,10,66,5,4,Yes
73,54,71,96,9,62,7,6,Yes
86,92,59,82,14,91,5,5,Yes
84,54,67,70,13,64,9,4,Yes
93,53,99,60,14,79,6,4,Yes
89,70,47,62,10,75,7,6,Yes
71,79,42,52,2,50,10,1,No
76,71,69,62,6,72,6,1,No
84,75,64,99,16,65,9,6,Yes
50,63,92,90,6,65,10,1,No
84,87,69,83,6,62,10,3,No
86,82,68,77,5,66,10,0,No
96,50,86,89,1,67,6,0,No
63,59,69,83,10,61,10,2,No
52,73,73,81,3,57,10,0,No
50,91,64,72,2,50,8,0,No
54,89,56,73,2,51,9,3,No
75,98,98,50,0,68,5,2,No
63,49,63,73,9,65,7,0,No
88,58,77,52,6,75,6,0,No
76,97,67,66,2,52,10,0,No
58,46,72,56,12,64,6,2,No
64,67,75,59,6,77,5,0,No
64,88,90,68,0,62,7,4,Yes
75,96,46,73,12,57,6,3,No
91,90,62,58,3,57,7,0,No
62,63,93,99,9,78,10,0,Yes
81,68,85,64,9,67,7,6,Yes
88,64,65,98,8,80,9,1,Yes
98,91,53,71,3,50,10,1,No
81,71,81,66,1,73,8,1,No
53,96,67,68,7,55,8,1,No
79,68,63,58,2,64,6,4,Yes
86,61,46,87,13,82,10,3,Yes
72,69,87,68,6,67,6,0,No
88,90,75,57,3,69,8,0,No
94,99,78,55,14,84,7,4,Yes
64,75,54,98,0,65,4,2,No
92,72,88,87,7,64,6,2,No
78,94,42,94,11,69,9,0,No
85,72,87,70,2,54,10,0,No
62,66,41,78,4,52,9,0,No
81,49,46,83,3,76,8,0,No
56,98,96,61,2,68,8,0,No
71,88,55,88,8,82,5,0,Yes
77,86,60,81,12,78,8,2,Yes
51,52,48,55,15,71,4,3,No
91,82,51,66,12,60,7,3,No
94,72,68,81,6,61,10,0,No
55,91,63,57,12,79,8,6,Yes
77,56,72,87,1,54,10,0,No
77,69,53,78,4,77,10,0,No
93,82,82,80,13,69,8,4,Yes
93,88,57,68,5,53,9,1,No
69,59,93,58,6,63,10,0,No
79,88,44,77,4,66,9,4,Yes
60,85,54,97,6,83,6,2,Yes
77,95,98,99,8,69,9,5,Yes
74,97,46,88,10,64,9,3,No
88,78,64,89,9,83,5,5,Yes
82,89,53,80,12,83,4,7,Yes
50,57,91,68,7,66,8,0,No
76,52,79,82,5,50,10,0,No
62,57,75,75,2,56,10,0,No
90,80,74,94,3,70,6,1,No
52,50,83,50,0,72,7,1,No
88,82,89,60,7,68,8,2,No
55,76,63,51,0,59,8,0,No
57,65,54,84,1,56,10,0,No
76,88,50,62,6,73,7,4,Yes
58,88,63,88,4,54,9,0,No
86,93,50,83,11,66,6,6,Yes
82,51,83,83,5,79,10,2,Yes
91,70,90,84,16,86,6,5,Yes
93,59,56,81,18,93,6,3,Yes
73,93,45,94,6,59,10,2,No
64,86,60,61,3,50,10,0,No
81,67,47,82,0,75,6,0,No
81,96,54,67,17,84,6,4,Yes
73,82,93,54,4,74,9,3,No
90,85,91,68,6,74,9,4,Yes
98,59,71,80,4,83,1,0,No
98,92,97,76,7,74,7,2,No
61,97,49,91,5,67,9,0,No
88,84,67,87,12,75,9,2,Yes
51,60,54,99,0,62,10,0,No
52,76,51,64,5,81,8,3,No
98,81,82,95,12,85,7,1,Yes
86,62,57,97,3,79,10,0,No
98,64,95,53,11,51,10,4,Yes
66,90,76,68,8,66,7,0,No
98,46,83,70,3,54,10,3,No
51,99,63,89,0,79,4,1,No
51,67,76,50,7,60,10,3,No
77,74,93,69,9,75,6,3,Yes
72,47,68,71,2,82,9,0,No
86,90,49,62,12,76,7,1,Yes
81,83,53,90,5,62,7,0,No
82,91,55,50,13,75,6,5,Yes
50,93,76,64,8,55,10,0,No
68,45,50,64,13,58,9,4,Yes
51,85,90,63,8,74,8,0,No
93,66,65,54,8,50,8,2,No
75,73,79,98,0,60,9,0,No
81,58,58,55,7,66,9,1,No
55,92,91,90,6,86,10,2,Yes
81,72,93,80,15,80,4,8,Yes
53,65,57,75,6,63,9,2,No
60,89,69,74,11,81,5,2,Yes
66,76,71,98,14,76,7,2,Yes
87,50,62,88,13,62,9,2,No
73,98,92,89,8,71,10,2,No
54,45,51,64,15,77,6,5,Yes
83,65,97,55,4,65,10,0,No
55,48,52,50,11,76,10,1,No
71,47,60,90,2,73,5,0,No
60,93,60,56,11,75,4,3,No
97,74,68,53,3,50,7,0,No
65,75,68,50,10,55,7,3,No
82,78,89,90,3,59,8,0,No
58,63,66,51,0,56,10,0,No
55,64,68,97,1,65,5,0,No
65,67,54,83,9,82,9,5,Yes
78,98,86,84,11,87,9,5,Yes
52,84,51,95,9,63,8,5,Yes
69,69,97,62,8,50,7,3,No
85,59,80,66,4,65,10,2,No
68,82,58,59,3,74,7,1,No
75,67,51,52,1,57,7,2,No
52,96,62,53,1,62,10,0,No
68,46,44,74,11,69,6,5,Yes
69,59,97,86,1,77,9,2,No
81,96,65,92,4,87,5,0,No
56,88,92,87,2,69,9,2,No
90,79,91,78,1,68,6,0,No
82,54,49,50,8,54,10,2,No
89,58,61,79,4,60,7,0,No
88,71,78,88,7,76,10,4,Yes
67,98,62,59,7,71,8,2,No
89,58,50,78,8,73,4,3,No
50,79,67,93,6,50,9,4,Yes
60,77,70,81,12,51,9,2,No
77,96,47,93,5,85,3,0,Yes
74,45,92,50,2,61,10,1,No
99,78,78,90,8,51,10,2,No
72,63,87,66,6,65,5,2,No
80,68,67,61,0,50,10,2,No
79,86,55,51,0,50,7,0,No
91,48,85,58,6,59,8,0,No
84,80,86,61,15,61,7,4,Yes
56,57,91,74,13,50,9,5,Yes
65,76,70,85,1,69,6,0,No
75,53,80,93,4,58,10,2,No
97,83,87,99,9,79,8,2,Yes
98,60,55,84,9,69,8,3,No
51,94,44,71,2,50,8,1,No
50,47,74,82,13,73,8,4,Yes
97,96,92,99,6,80,7,0,Yes
61,64,64,70,8,67,8,5,Yes
54,54,52,89,3,56,10,4,Yes
86,66,68,71,5,51,10,4,Yes
81,92,66,77,12,66,10,2,No
58,47,79,53,10,58,10,4,Yes
90,55,56,75,10,65,10,4,Yes
84,69,76,72,3,50,8,1,No
68,86,77,97,0,50,10,0,No
97,92,68,98,22,88,5,8,Yes
65,52,97,72,7,68,10,1,No
52,53,98,90,0,57,10,0,No
69,59,73,57,11,58,9,5,Yes
73,76,69,81,2,78,7,3,No
82,97,70,88,18,100,9,6,Yes
73,47,61,93,3,51,10,0,No
60,48,85,50,9,78,7,6,Yes
98,74,64,79,8,56,9,1,No
57,57,43,77,0,65,7,0,No
85,88,74,66,3,50,8,0,No
87,65,80,72,3,57,8,1,No
89,85,89,87,5,67,8,2,No
69,90,83,73,8,72,9,3,No
84,63,48,71,0,50,10,0,No
97,83,98,54,9,75,3,5,Yes
74,92,65,74,0,59,6,0,No
84,66,66,56,9,54,10,2,No
74,64,66,71,2,51,6,1,No
78,81,57,93,8,84,9,1,Yes
67,75,69,86,0,62,10,0,No
95,54,84,83,4,60,10,1,No
67,62,98,85,0,50,7,0,No
51,87,85,98,0,54,7,0,No
84,83,70,89,15,77,9,5,Yes
65,90,81,69,14,78,3,4,Yes
90,64,42,86,1,62,9,0,No
85,62,68,66,5,58,7,0,No
82,55,46,53,9,50,7,1,No
53,66,57,99,6,65,8,0,No
82,88,55,67,5,65,10,2,No
63,62,88,77,0,51,10,0,No
70,78,96,99,11,69,9,8,Yes
97,67,71,65,5,66,7,0,No
69,45,77,92,0,63,10,0,No
57,99,64,57,7,75,10,6,Yes
56,54,83,93,3,50,10,0,No
52,97,71,67,4,69,6,0,No
66,45,58,99,6,50,10,0,No
82,82,42,78,7,56,10,2,No
97,83,97,89,14,85,7,2,Yes
61,93,99,65,3,51,9,0,No
71,53,74,79,2,71,9,2,No
71,75,89,98,11,65,8,2,No
95,51,68,83,19,94,8,7,Yes
79,61,50,79,18,64,8,5,Yes
87,79,45,70,11,70,4,6,Yes
87,92,58,71,7,50,10,4,Yes
94,81,76,96,6,67,8,4,Yes
57,96,84,74,5,50,9,2,No
76,62,66,71,0,57,9,2,No
76,77,44,77,11,62,6,2,No
83,48,65,88,13,91,4,3,Yes
70,67,74,82,6,61,7,3,No
79,55,58,51,17,94,7,3,No
82,96,56,53,22,72,9,6,Yes
77,53,93,65,10,50,7,3,No
96,74,74,61,5,73,7,0,No
82,52,86,66,2,50,10,3,No
54,84,88,85,10,81,8,4,Yes
97,49,52,65,12,71,2,5,Yes
68,56,53,88,2,68,5,0,No
53,45,69,72,0,69,6,1,No
84,59,97,57,0,82,1,0,No
98,69,87,58,3,74,10,1,No
66,62,96,63,4,66,8,3,No
93,82,82,58,14,83,8,4,Yes
77,86,56,96,5,73,6,0,No
79,90,76,75,0,65,9,0,No
78,97,92,85,5,85,7,0,Yes
95,70,54,52,6,64,7,0,No
55,84,57,59,5,67,10,4,Yes
84,47,87,74,0,54,10,1,No
90,98,53,53,7,95,5,0,Yes
86,66,53,79,14,71,7,2,No
73,70,84,99,4,68,6,2,No
78,63,72,60,3,53,9,3,No
98,88,77,68,5,61,9,1,No
95,88,94,99,9,79,6,2,Yes
80,91,50,62,0,59,10,0,No
84,83,50,85,2,74,6,3,No
82,80,96,52,13,81,8,3,Yes
70,65,87,97,10,69,5,5,Yes
81,85,95,63,5,56,8,0,No
72,98,65,59,10,73,4,1,No
82,92,42,87,4,67,7,2,No
52,70,64,89,1,61,10,2,No
67,57,56,76,1,64,6,1,No
74,80,61,73,0,53,10,0,No
91,68,68,65,7,74,6,3,No
80,85,85,59,18,82,4,5,Yes
52,70,65,76,0,52,9,0,No
89,65,73,56,16,71,7,7,Yes
95,62,65,77,0,59,9,0,No
73,59,96,75,9,64,5,4,Yes
99,59,48,67,0,52,9,3,No
81,50,79,62,9,79,4,1,No
96,87,50,57,5,74,6,4,Yes
71,75,46,76,10,76,5,3,No
72,72,69,63,3,51,8,2,No
51,52,93,90,7,86,7,0,Yes
76,73,41,93,6,69,10,3,No
91,65,69,55,13,72,8,0,No
51,61,43,69,4,72,5,0,No
75,93,97,77,9,68,7,0,No
66,68,94,72,6,50,10,0,No
89,94,53,61,13,76,8,3,Yes
