test_1_score,test_2_score,test_3_score,test_4_score,hours_studied_per_week,attendance_percent,classes_missed,office_hours_attended,Study_attendence_interaction,Passed the class
0.88,0.53,0.59,0.52,0.12,0.89,0.03,0.04,0.10679999999999999,1
0.78,0.48,0.99,0.67,0.0,0.56,0.09,0.0,0.0,0
0.64,0.59,0.48,0.72,0.05,0.5,0.1,0.01,0.025,0
0.92,0.95,0.8,0.57,0.12,0.71,0.1,0.06,0.0852,1
0.57,0.92,0.9,0.58,0.11,0.68,0.08,0.0,0.0748,0
0.7,0.52,0.99,0.51,0.04,0.69,0.07,0.01,0.0276,0
0.88,0.93,0.84,0.51,0.04,0.73,0.05,0.05,0.0292,1
0.68,0.97,0.72,0.76,0.16,0.87,0.05,0.05,0.1392,1
0.72,0.45,0.88,0.97,0.06,0.77,0.07,0.0,0.0462,1
0.6,0.51,0.43,0.88,0.04,0.7,0.06,0.0,0.027999999999999997,0
0.6,0.97,0.43,0.85,0.04,0.75,0.08,0.03,0.03,0
0.73,0.75,0.98,0.54,0.06,0.52,0.09,0.03,0.0312,0
0.85,0.62,0.87,0.5,0.0,0.57,0.1,0.02,0.0,0
0.89,0.56,0.99,0.71,0.12,0.72,0.06,0.07,0.08639999999999999,1
0.73,0.92,0.55,0.59,0.06,0.71,0.08,0.02,0.0426,0
0.52,0.74,0.86,0.94,0.0,0.54,0.09,0.0,0.0,0
0.71,0.77,0.65,0.73,0.02,0.55,0.1,0.0,0.011000000000000001,0
0.51,0.91,0.45,0.64,0.11,0.67,0.08,0.03,0.0737,0
0.73,0.51,0.76,0.82,0.05,0.69,0.05,0.0,0.034499999999999996,0
0.93,0.72,0.61,0.99,0.04,0.5,0.09,0.0,0.02,0
0.79,0.93,0.81,0.72,0.09,0.69,0.04,0.03,0.062099999999999995,0
0.87,0.47,0.78,0.63,0.05,0.58,0.09,0.0,0.028999999999999998,0
0.51,0.87,0.46,0.67,0.07,0.58,0.1,0.03,0.040600000000000004,0
0.7,0.5,0.81,0.74,0.07,0.7,0.08,0.0,0.049,0
0.82,0.75,0.69,0.71,0.03,0.64,0.09,0.03,0.0192,0
0.61,0.82,0.49,0.93,0.04,0.66,0.09,0.01,0.026400000000000003,0
0.71,0.59,0.96,0.93,0.02,0.64,0.06,0.02,0.0128,0
0.93,0.51,0.54,0.86,0.03,0.77,0.05,0.0,0.0231,0
0.74,0.87,0.45,0.56,0.04,0.76,0.08,0.02,0.0304,0
0.98,0.74,0.63,0.75,0.07,0.53,0.09,0.02,0.03710000000000001,0
0.76,0.71,0.41,0.73,0.04,0.59,0.1,0.01,0.0236,0
0.91,0.61,0.79,0.62,0.08,0.64,0.1,0.03,0.0512,0
0.77,0.99,0.96,0.9,0.07,0.52,0.08,0.0,0.0364,0
0.65,0.62,0.91,0.55,0.02,0.89,0.04,0.02,0.0178,0
0.64,0.66,0.54,0.7,0.0,0.61,0.06,0.0,0.0,0
0.96,0.97,0.92,0.56,0.05,0.53,0.08,0.0,0.026500000000000003,0
0.93,0.7,0.6,0.67,0.06,0.77,0.06,0.05,0.0462,1
0.52,0.95,0.57,0.64,0.12,0.73,0.08,0.02,0.0876,0
0.86,0.71,0.44,0.57,0.07,0.59,0.08,0.07,0.0413,1
0.56,0.84,0.64,0.65,0.0,0.67,0.1,0.01,0.0,0
0.7,0.68,0.75,0.98,0.07,0.76,0.09,0.05,0.053200000000000004,1
0.58,0.96,0.49,0.52,0.05,0.72,0.08,0.0,0.036,0
0.88,0.52,0.9,0.94,0.09,0.74,0.08,0.0,0.06659999999999999,0
0.67,0.65,0.85,0.58,0.0,0.53,0.05,0.0,0.0,0
0.53,0.73,0.62,0.96,0.12,0.56,0.04,0.06,0.06720000000000001,1
0.74,0.87,0.63,0.75,0.1,0.58,0.09,0.02,0.057999999999999996,0
0.63,0.65,0.84,0.75,0.05,0.6,0.1,0.01,0.03,0
0.99,0.47,0.49,0.79,0.0,0.5,0.08,0.0,0.0,0
0.58,0.75,0.93,0.76,0.0,0.78,0.07,0.0,0.0,0
0.75,0.99,0.45,0.65,0.12,0.62,0.1,0.03,0.0744,0
0.51,0.71,0.52,0.97,0.1,0.68,0.1,0.03,0.068,0
0.69,0.9,0.6,0.53,0.13,0.74,0.06,0.05,0.09620000000000001,1
0.77,0.71,0.71,0.68,0.15,0.86,0.05,0.03,0.129,1
0.96,0.53,0.82,0.83,0.11,0.76,0.06,0.02,0.08360000000000001,1
